First Name,Middle Initial,Last Name,Year Hired,Major,Position,Education
Laila,M,Abdelhafeez,2025,Computer Science,Assistant Professor,"B.S., Cairo University, 2017; M.S., University of California, Riverside, 2023; Ph.D., 2025."
Kira,J,Abercromby,2008,Aerospace Engineering,Professor,"B.S., University of California, Los Angeles, 1994; M.S., University of Colorado, Boulder, 1998; Ph.D., 2000."
Radhavi,NULL,Abeysiridara Samarakoon,2026,Civil and Environmental Engineering,Assistant Professor,"B.S., University of Moratuwa, Sir Lanka, 2014; M.S., University of South Florida, 2016; Ph.D, University of California, San Diego, 2022."
Mohammed,NULL,Abo Ismail,2019,Animal Science,Associate Professor,"B.S., Alexandria University Damanhour, 2000; M.S., Alexandria University; Ph.D., University of Guelph, 2012"
Roberto,NULL,Abril Valenzuela,2026,Physics,Assistant Professor,"B.S., Physics, B.S., Mathematics, California Polytechnic State University, San Luis Obispo, 2018; M.S., University of California, Santa Barbarba, 2021; Ph.D., University of California, Santa Barbara, 2024."
Nikki,L,Adams,2002,Biological Sciences,Professor,"B.A., University of California, Santa Barbara, 1988; M.S., University of Maine, 1995; Ph.D., 2000."
Aubrie,S,Adams,2017,Communication Studies,Associate Professor,"B.A., Sonoma State University, 2005; M.A., Sacramento State University, 2013; Ph.D. Univeristy of California at Santa Barbara, 2017."
Elizabeth,NULL,Adams,2023,Construction Management,Assistant Professor,"B.S., Boise State University, 2001; M.S., University of Hawaii at Manoa, 2006; Ph.D., Arizona State University, 2013."
Elizabeth,NULL,Adan,2007,"Women's, Gender and Queer Studies, Interdisciplinary Studies in the Liberal Arts",Professor and WGQS Department Chair,"B.A., University of California, Davis, 1993; M.F.A., University of California, Santa Barbara, 1997; M.A., University of California, Berkeley, 2000; Ph.D., University of California, Santa Barbara, 2006."
Chivate,NULL,Aditya,2024,Industrial and Manufacturing Engineering,Assistant Professor,"B.E., University of Pune, India, 2018; M.S., University at Buffalo SUNY, 2020; Ph.D., University at Buffalo SUNY, 2024."
Puneet,NULL,Agarwal,2021,Industrial and Manufacturing Engineering,Assistant Professor,"B.S., Jadavpur University, Kolkata, 2016; M.S., University of Buffalo, New York,2019; Ph.D., University of Buffalo, Buffalo, New York."
Anu,NULL,Aggarwal,2025,Electrical Engineering,Assistant Professor,"B.Eng.University of Manchester, UK, 2012; Ph.D. University of Maryland, College Park, 2015."
