cip,bucket
01,"Agriculture, Food & Animal"
03,Architecture & Environmental Design
04,Architecture & Environmental Design
05,Social Sciences & Communication
09,Social Sciences & Communication
10,Social Sciences & Communication
11,Computer Science
13,Education & Public Administration
14,Engineering
15,Engineering
16,Humanities & Languages
19,Social Sciences & Communication
22,Education & Public Administration
23,Humanities & Languages
24,Humanities & Languages
26,Science & Mathematics
27,Science & Mathematics
38,Humanities & Languages
40,Science & Mathematics
42,Social Sciences & Communication
44,Education & Public Administration
4407,Social Sciences & Communication
45,Social Sciences & Communication
4506,"Business, Economics & Finance"
50,Humanities & Languages
51,Medicine & Health Sciences
52,"Business, Economics & Finance"
54,Humanities & Languages
3005,Social Sciences & Communication
3008,Computer Science
3011,Social Sciences & Communication
3013,Humanities & Languages
3015,Humanities & Languages
3017,Social Sciences & Communication
3018,Science & Mathematics
3019,"Agriculture, Food & Animal"
3020,Social Sciences & Communication
3022,Humanities & Languages
3025,Social Sciences & Communication
3027,Science & Mathematics
3032,Science & Mathematics
3033,Architecture & Environmental Design
3044,Architecture & Environmental Design
3047,Humanities & Languages
