campus,unitid,department,series,faculty_n,faculty_median_base,faculty_median_gross,grad_n_1yr,grad_earn_1yr,grad_n_5yr,grad_earn_5yr,ratio_1yr,ratio_5yr,ratio_5yr_base,meets_min_n
berkeley,110635,"Agriculture, Food & Animal",ladder,14,144312.5,195500.5,50,35161.0,33,77253.0,0.18,0.395,0.535,true
davis,110644,"Agriculture, Food & Animal",ladder,72,130125.0,154546.5,479,36400.0,437,61414.0,0.236,0.397,0.472,true
santa cruz,110714,"Agriculture, Food & Animal",ladder,1,40750.0,45225.0,,,16,61102.0,,1.351,1.499,false
berkeley,110635,Architecture & Environmental Design,ladder,43,153900.0,172848.0,373,47956.0,194,86948.0,0.277,0.503,0.565,true
davis,110644,Architecture & Environmental Design,ladder,27,140067.0,184258.0,282,36481.0,191,65697.0,0.198,0.357,0.469,true
irvine,110653,Architecture & Environmental Design,ladder,20,119491.5,130215.5,38,36304.0,19,59960.0,0.279,0.46,0.502,true
los angeles,110662,Architecture & Environmental Design,ladder,32,158632.0,201971.0,65,31944.0,67,74911.0,0.158,0.371,0.472,true
riverside,110671,Architecture & Environmental Design,ladder,9,108192.0,135234.0,94,30604.0,44,61938.0,0.226,0.458,0.572,false
san diego,110680,Architecture & Environmental Design,ladder,11,118567.0,153150.0,54,37524.0,38,74028.0,0.245,0.483,0.624,true
santa barbara,110705,Architecture & Environmental Design,ladder,27,148308.0,156725.0,253,33759.0,148,66752.0,0.215,0.426,0.45,true
santa cruz,110714,Architecture & Environmental Design,ladder,21,160350.0,187367.0,221,29152.0,198,60229.0,0.156,0.321,0.376,true
berkeley,110635,"Business, Economics & Finance",ladder,134,268517.0,338700.0,399,84784.0,389,134448.0,0.25,0.397,0.501,true
davis,110644,"Business, Economics & Finance",ladder,85,202450.0,239911.0,766,51799.0,766,89019.0,0.216,0.371,0.44,true
irvine,110653,"Business, Economics & Finance",ladder,33,214550.0,234417.0,818,46476.0,455,80572.0,0.198,0.344,0.376,true
los angeles,110662,"Business, Economics & Finance",ladder,131,321867.0,412606.0,462,63674.0,416,104012.0,0.154,0.252,0.323,true
merced,445188,"Business, Economics & Finance",ladder,15,180967.0,206222.0,247,46789.0,201,63910.0,0.227,0.31,0.353,true
riverside,110671,"Business, Economics & Finance",ladder,22,142517.5,145676.5,1131,41214.0,945,71833.0,0.283,0.493,0.504,true
san diego,110680,"Business, Economics & Finance",ladder,90,248212.5,317658.0,296,53571.0,478,84811.0,0.169,0.267,0.342,true
santa barbara,110705,"Business, Economics & Finance",ladder,37,231767.0,277050.0,339,66308.0,376,106955.0,0.239,0.386,0.461,true
santa cruz,110714,"Business, Economics & Finance",ladder,27,172550.0,180400.0,366,51629.0,317,89630.0,0.286,0.497,0.519,true
berkeley,110635,Computer Science,ladder,57,163933.0,210069.0,441,132619.0,145,225140.0,0.631,1.072,1.373,true
davis,110644,Computer Science,ladder,40,158750.0,186761.0,241,84343.0,209,143465.0,0.452,0.768,0.904,true
irvine,110653,Computer Science,ladder,87,162167.0,227383.0,711,77488.0,222,130250.0,0.341,0.573,0.803,true
los angeles,110662,Computer Science,ladder,53,175397.0,233222.0,144,136099.0,102,218770.0,0.584,0.938,1.247,true
riverside,110671,Computer Science,ladder,71,148950.0,200344.0,181,80542.0,,,0.402,,,false
san diego,110680,Computer Science,ladder,141,164725.0,229442.0,502,101496.0,385,160463.0,0.442,0.699,0.974,true
santa barbara,110705,Computer Science,ladder,78,182991.5,224023.5,62,107776.0,91,145485.0,0.481,0.649,0.795,true
santa cruz,110714,Computer Science,ladder,44,142670.5,176678.5,678,71492.0,269,118928.0,0.405,0.673,0.834,true
berkeley,110635,Education & Public Administration,ladder,50,197200.0,244234.0,140,43886.0,59,78127.0,0.18,0.32,0.396,true
davis,110644,Education & Public Administration,ladder,33,133292.0,171150.0,53,44593.0,66,63217.0,0.261,0.369,0.474,true
irvine,110653,Education & Public Administration,ladder,46,192208.5,211934.0,326,27848.0,141,58011.0,0.131,0.274,0.302,true
los angeles,110662,Education & Public Administration,ladder,56,178325.0,224611.5,,,,,,,,false
riverside,110671,Education & Public Administration,ladder,1,90792.0,132703.0,182,30935.0,64,61890.0,0.233,0.466,0.682,false
san diego,110680,Education & Public Administration,ladder,39,198617.0,252650.0,,,,,,,,false
santa barbara,110705,Education & Public Administration,ladder,1,99817.0,107817.0,,,,,,,,false
santa cruz,110714,Education & Public Administration,ladder,14,115900.0,129479.0,209,34944.0,119,60506.0,0.27,0.467,0.522,true
