Major,base,overtime,other,ual,benefitsee,benefitser,benefitsdc,notes,totalpay,totalbenefits,totalpaybenefits
Accounting,159104.15,0.0,15209.475,,,,,,180902.25,63785.229999999996,259320.355
Aerospace Engineering,128086.09,0.0,18197.68,,,,,,152227.19,70350.93,223319.25
Agricultural Business,133394.36,0.0,11170.34,,,,,,144564.7,64781.41,211051.40000000002
Animal Science,114817.46,0.0,13443.97,,,,,,130588.33,57932.56,185261.36
Architectural Engineering,134429.99,0.0,18265.22,,,,,,152695.21,47639.58,198346.81
Architecture,112635.89499999999,0.0,7844.4,,,,,,125247.945,54085.93,181546.91999999998
Art and Design,95085.5,0.0,1750.0,,,,,,96552.5,44404.770000000004,140957.27000000002
Bailey College of Science and Mathematics,90550.6,0.0,-128.0,,,,,,90422.6,33172.6,123595.2
BioResource and Agricultural Engineering,122049.93,0.0,4002.22,,,,,,129092.83,64434.065,189706.84
Biochemistry,113781.19,0.0,11455.88,,,,,,125237.07,63775.61,187158.32
Biological Sciences,116371.48,0.0,6257.025,,,,,,121417.82,61309.115000000005,184909.74
Biomedical Engineering,119140.1,0.0,9028.0,,,,,,128052.52,67429.33,195597.43
Chemistry,109404.11,0.0,1500.0,,,,,,110904.11,63494.36,174398.47
City and Regional Planning,108105.65,0.0,10710.93,,,,,,120757.92,59773.71,180531.63
Civil Engineering,107877.83499999999,0.0,9765.5,,,,,,126258.51999999999,57425.229999999996,184370.93
Communication Studies,104238.34,0.0,8000.0,,,,,,113723.02,48536.35,176219.58
Computer Engineering,129556.525,0.0,8873.96,,,,,,133946.79499999998,60187.47,192313.83000000002
Computer Science,124715.9,0.0,11222.8,,,,,,126569.18,47493.0,176325.17
Construction Management,117688.56,0.0,7000.0,,,,,,142088.94,58546.95,200748.68
Economics,152100.515,0.0,11619.335,,,,,,159600.515,60750.185,217111.27000000002
Electrical Engineering,118732.72,0.0,6475.0,,,,,,126305.655,54882.19,183065.325
English,110862.09,0.0,9425.189999999999,,,,,,139227.195,53053.78999999999,178696.62
Environmental Earth and Soil Sciences,130817.375,0.0,7460.0,,,,,,138277.375,62475.19500000001,200752.57
Environmental Management and Protection,94796.445,0.0,9687.48,,,,,,101282.85500000001,49913.935,154892.33000000002
Ethnic Studies,130379.32,0.0,20964.44,,,,,,151343.76,53930.1,195198.48
Experience Industry Management,103550.215,0.0,20008.86,,,,,,123559.075,48648.155,172207.22999999998
Finance,164488.55,0.0,8990.75,,,,,,170276.5,67375.005,237651.505
Food Science and Nutrition,136613.33,0.0,5164.33,,,,,,141777.66,67547.84,209325.5
Gender and Queer Studies,136994.39,0.0,34056.57,,,,,,171050.96,48706.9,219757.86
Graphic Communication,82616.2,0.0,3800.0,,,,,,90609.1,41547.88,135715.32
History,97678.48000000001,0.0,11663.275,,,,,,107158.92499999999,51448.91,160141.495
Industrial Technology and Packaging,149918.04,0.0,7515.05,,,,,,157433.09,67561.91,215210.7
Industrial and Manufacturing Engineering,98262.57,0.0,9187.03,,,,,,113089.97,42759.43,155849.4
Interdisciplinary Studies,75175.62,0.0,12673.17,,,,,,87848.79,26370.855,114219.64499999999
Journalism,108262.05,0.0,5448.27,,,,,,116196.88500000001,58851.634999999995,175048.52
Kinesiology and Public Health,125555.01,0.0,6200.0,,,,,,130311.35,53368.83,184864.18
Landscape Architecture,109327.63,0.0,2752.0,,,,,,115395.85,55188.46,171025.7
Liberal Arts and Engineering Studies,144904.24,0.0,2612.33,,,,,,147516.57,70392.14,217908.71
Marine Transportation,120221.12,0.0,5200.0,,,,,,125421.12,49688.37,175109.49
Marketing,161875.96,0.0,28544.42,,,,,,190420.38,52746.43,243166.81
Materials Engineering,114534.17,0.0,200.0,,,,,,121419.0,47039.06,168104.12
Mathematics,118033.37,0.0,10397.42,,,,,,128814.37,62944.74,189641.26
Mechanical Engineering,112692.235,0.0,12148.3,,,,,,130642.875,53621.825,184720.46000000002
Music,85500.995,0.0,11119.315,,,,,,96620.31,38191.515,134811.825
Philosophy,97920.79,0.0,11698.83,,,,,,113263.42499999999,41720.520000000004,143580.33000000002
Physics,115471.8,0.0,5763.4,,,,,,123531.88,52831.35,178104.84
Plant Sciences,109698.73999999999,0.0,5786.495,,,,,,112994.23999999999,60645.82,174864.05
Political Science,116923.08499999999,0.0,15712.830000000002,,,,,,132635.915,55227.645000000004,187863.56
Psychology and Child Development,110958.66,0.0,20337.33,,,,,,131295.99,55758.96,179098.61
School of Education,107532.81,0.0,6616.785,,,,,,115694.54000000001,58000.979999999996,167714.325
Social Sciences,105199.63,0.0,14590.65,,,,,,128709.2,55011.33,177927.6
Statistics,100523.265,0.0,9675.985,,,,,,117818.745,48491.255,164512.41
Theatre and Dance,126747.58,0.0,7931.0,,,,,,134678.58000000002,54286.17,188964.75
Wine and Viticulture,42423.75,0.0,1250.0,,,,,,43673.75,4428.645,48102.395
World Languages and Cultures,47819.5,0.0,8580.654999999999,,,,,,56400.155,19480.63,75880.78499999999
