Major,CREDDESC,IPEDSCOUNT1,IPEDSCOUNT2,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,BBRR2_FED_COMP_N,BBRR2_FED_COMP_DFLT,BBRR2_FED_COMP_DLNQ,BBRR2_FED_COMP_FBR,BBRR2_FED_COMP_DFR,BBRR2_FED_COMP_NOPROG,BBRR2_FED_COMP_MAKEPROG,BBRR2_FED_COMP_PAIDINFULL,BBRR2_FED_COMP_DISCHARGE,BBRR3_FED_COMP_N,BBRR3_FED_COMP_DFLT,BBRR3_FED_COMP_DLNQ,BBRR3_FED_COMP_FBR,BBRR3_FED_COMP_DFR,BBRR3_FED_COMP_NOPROG,BBRR3_FED_COMP_MAKEPROG,BBRR3_FED_COMP_PAIDINFULL,BBRR3_FED_COMP_DISCHARGE,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR,BBRR1_FED_COMP_N,BBRR1_FED_COMP_DFLT,BBRR1_FED_COMP_DLNQ,BBRR1_FED_COMP_FBR,BBRR1_FED_COMP_DFR,BBRR1_FED_COMP_NOPROG,BBRR1_FED_COMP_MAKEPROG,BBRR1_FED_COMP_PAIDINFULL,BBRR1_FED_COMP_DISCHARGE,BBRR4_FED_COMP_N,BBRR4_FED_COMP_DFLT,BBRR4_FED_COMP_DLNQ,BBRR4_FED_COMP_FBR,BBRR4_FED_COMP_DFR,BBRR4_FED_COMP_NOPROG,BBRR4_FED_COMP_MAKEPROG,BBRR4_FED_COMP_PAIDINFULL,BBRR4_FED_COMP_DISCHARGE,DISTANCE,EARN_COUNT_NWNE_5YR,EARN_COUNT_WNE_5YR,EARN_MDN_5YR,EARN_GT_THRESHOLD_5YR,EARN_COUNT_PELL_WNE_5YR,EARN_PELL_WNE_MDN_5YR,EARN_COUNT_NOPELL_WNE_5YR,EARN_NOPELL_WNE_MDN_5YR,EARN_COUNT_MALE_WNE_5YR,EARN_MALE_WNE_MDN_5YR,EARN_COUNT_NOMALE_WNE_5YR,EARN_NOMALE_WNE_MDN_5YR,EARN_COUNT_HIGH_CRED_5YR,EARN_IN_STATE_5YR,EARN_COUNT_WNE_4YR_NAT,EARN_MDN_4YR_NAT,EARN_P25_4YR_NAT,EARN_P75_4YR_NAT
Agricultural Business,Bachelor's Degree,120.0,126.0,2,90,100,55329,3,100,107,57149,84,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,87,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,0.20 - 0.39,<=0.20,57,52503,44,55166,57,52270,44,58643,105,67730,102,98,60,71899,45,65204,61,72922,44,58050,0,102,52778,80,PS,90,4,114,88396,PS,64,77151,45,79297,64,83915,44,70763,PS,93,84,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,87,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,1,5,106,93186,97,63,92113,43,94927,63,100413,43,80810,PS,89,5347,66647,48591,90381
Agricultural Business,Master's Degree,0.0,0.0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS
Animal Science,Bachelor's Degree,165.0,159.0,8,86,104,30350,5,91,109,32711,102,<=0.10,<=0.10,0.10 - 0.19,<=0.10,0.10 - 0.19,0.30 - 0.39,0.10 - 0.19,<=0.10,119,<=0.10,<=0.10,0.10 - 0.19,<=0.10,<=0.10,0.30 - 0.39,0.20 - 0.29,<=0.10,60,33275,39,36605,19,36718,79,33884,105,40129,97,87,59,39908,46,40084,17,51652,88,37734,7,100,33879,59,PS,84,5,118,54805,PS,66,53313,46,53104,19,60732,92,52453,PS,87,145,<=0.10,<=0.10,0.30 - 0.39,0.10 - 0.19,<=0.10,0.10 - 0.19,0.10 - 0.19,<=0.10,119,<=0.10,<=0.10,0.30 - 0.39,<=0.10,<=0.10,0.20 - 0.29,0.30 - 0.39,<=0.10,1,7,132,62117,115,80,60621,53,64236,21,77244,111,57818,34,105,6104,49634,36349,66880
Animal Science,Master's Degree,0.0,0.0,1,PS,16,83341,PS,PS,PS,PS,10,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,412,75394,54391,104637
Food Science,Bachelor's Degree,101.0,81.0,1,25,28,46002,2,16,20,52107,24,PS,PS,PS,PS,PS,PS,PS,PS,22,PS,PS,PS,PS,PS,PS,PS,PS,43,51073,45,55593,23,50722,64,53359,20,69000,20,19,PS,PS,PS,PS,PS,PS,17,64088,1,88,52240,69,PS,73,2,92,75466,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,25,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,22,PS,PS,PS,PS,PS,PS,PS,PS,1,1,20,82237,19,PS,PS,PS,PS,PS,PS,PS,PS,PS,16,1301,70873,54113,88238
Food Science,Master's Degree,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,PS,PS,PS,PS,,,,,,,,,,,,,PS,PS,PS,PS,PS,PS,,PS,PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS
Plant Sciences,Bachelor's Degree,49.0,55.0,4,70,75,50514,3,68,86,44869,77,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,0.20 - 0.39,<=0.20,70,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,26,62694,23,59930,32,61691,17,63889,93,55536,89,78,58,51135,35,60134,56,57715,37,52533,1,49,63129,44,PS,47,3,52,82487,71,54,61604,34,67680,54,70126,35,61722,PS,78,35,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,70,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,1,4,91,74094,75,56,78198,35,73430,54,86807,37,64516,PS,80,2130,56567,41837,73901
Architecture,Bachelor's Degree,0.0,0.0,6,109,114,55714,3,99,104,55884,102,<=0.10,<=0.10,<=0.10,<=0.10,0.10 - 0.19,0.50 - 0.59,0.10 - 0.19,<=0.10,96,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,35,59406,35,60009,23,60630,46,60495,109,63723,101,97,75,65541,34,56323,59,66448,50,61487,4,70,60634,59,PS,54,1,129,76613,PS,73,72487,34,64129,60,70400,49,71709,PS,80,119,<=0.10,<=0.10,0.50 - 0.59,<=0.10,0.10 - 0.19,0.20 - 0.29,0.10 - 0.19,<=0.10,96,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,1,4,105,77718,98,73,82847,35,73675,60,79275,47,76631,PS,79,4504,66914,54236,78634
Architecture,Master's Degree,5.0,0.0,0,PS,PS,PS,0,14,14,80022,PS,PS,PS,PS,PS,PS,PS,PS,PS,11,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,11,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,2395,74139,62872,86117
City and Regional Planning,Bachelor's Degree,36.0,36.0,1,18,22,53484,0,12,15,48432,15,PS,PS,PS,PS,PS,PS,PS,PS,13,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,21,47832,PS,PS,21,0,31,80820,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,25,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,13,PS,PS,PS,PS,PS,PS,PS,PS,1,0,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,768,66874,50087,86436
