INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Academy of Art University,San Francisco,CA,94105,3,3,-122.400578,37.787943
Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,1,1,-122.269839,37.805972
College of Alameda,Alameda,CA,94501,3,3,-122.279303,37.781017
Allan Hancock College,Santa Maria,CA,93454-6399,3,4,-120.421144,34.943716
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,90028,1,1,-118.343701,34.095378
Berkeley School of Theology,Berkeley,CA,94704-3029,1,1,-122.256149,37.865252
American Film Institute Conservatory,Los Angeles,CA,90027-1625,1,1,-118.310018,34.10767
American Beauty College,West Covina,CA,91790,-2,1,-117.936959,34.069367
American Career College-Los Angeles,Los Angeles,CA,90004,2,2,-118.292481,34.079323
American River College,Sacramento,CA,95841-4286,5,5,-121.349672,38.65085
Antelope Valley Community College District,Lancaster,CA,93536-5426,3,4,-118.186166,34.676207
Art Center College of Design,Pasadena,CA,91103,2,2,-118.185102,34.169031
Associated Technical College-Los Angeles,Los Angeles,CA,90017-1604,-2,1,-118.272364,34.056102
Associated Technical College-San Diego,San Diego,CA,92108-1630,-2,-2,-117.135196,32.773178
Azusa Pacific University,Azusa,CA,91702-7000,3,3,-117.888375,34.130047
Bakersfield College,Bakersfield,CA,93305-1299,4,5,-118.973753,35.40911
Barstow Community College,Barstow,CA,92311,2,2,-117.023412,34.870285
Bellus Academy-Chula Vista,Chula Vista,CA,91911,-2,1,-117.083738,32.614773
Bethesda University,Anaheim,CA,92801,1,1,-117.941323,33.842295
Biola University,La Mirada,CA,90639-0001,3,3,-118.014374,33.906203
Brownson Technical School,Anaheim,CA,92805,-2,1,-117.905774,33.819032
Butte College,Oroville,CA,95965-8399,3,4,-121.644831,39.649782
California Institute of Integral Studies,San Francisco,CA,94103,2,2,-122.416102,37.774924
Cabrillo College,Aptos,CA,95003,3,3,-121.924797,36.989448
California Baptist University,Riverside,CA,92504-3297,3,4,-117.425619,33.929321
California College of the Arts,San Francisco,CA,94107-2247,2,2,-122.399451,37.767485
University of California College of the Law-San Francisco,San Francisco,CA,94102-4978,2,2,-122.4157,37.781137
California Institute of Technology,Pasadena,CA,91125,2,2,-118.125878,34.137349
California Lutheran University,Thousand Oaks,CA,91360-2787,3,2,-118.878924,34.224566
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,4,5,-120.657311,35.299513
Alliant International University-San Diego,San Diego,CA,92131,3,2,-117.094398,32.897056
California State University-Bakersfield,Bakersfield,CA,93311-1099,3,4,-119.104711,35.350005
California State University-Stanislaus,Turlock,CA,95382-0299,3,3,-120.852511,37.52577
California State University-Chancellors Office,Long Beach,CA,90802-4210,-2,-2,-118.201255,33.764338
California State University-San Bernardino,San Bernardino,CA,92407-2393,4,4,-117.323801,34.182622
California State Polytechnic University-Pomona,Pomona,CA,91768,4,5,-117.821476,34.057912
California State University-Chico,Chico,CA,95929-0150,3,4,-121.844859,39.729712
California State University-Dominguez Hills,Carson,CA,90747-0005,3,4,-118.255917,33.864766
California State University-Fresno,Fresno,CA,93740,4,5,-119.744569,36.811154
California State University-Fullerton,Fullerton,CA,92832-3599,5,5,-117.885446,33.881506
California State University-East Bay,Hayward,CA,94542,3,4,-122.054135,37.657694
California State University-Long Beach,Long Beach,CA,90840-0115,5,5,-118.11204,33.782818
California State University-Los Angeles,Los Angeles,CA,90032-8506,4,5,-118.168965,34.066927
California State University-Northridge,Northridge,CA,91330,5,5,-118.529319,34.240126
California State University-Sacramento,Sacramento,CA,95819-2694,4,5,-121.423549,38.559415
University of California-Berkeley,Berkeley,CA,94720,5,5,-122.260463,37.871918
University of California-Davis,Davis,CA,95616-8678,5,5,-121.749567,38.539667
University of California-Irvine,Irvine,CA,92697,4,5,-117.841248,33.648434
University of California-Los Angeles,Los Angeles,CA,90095-1405,5,5,-118.442179,34.07178
University of California-Riverside,Riverside,CA,92521,4,5,-117.32741,33.97246
University of California-San Diego,La Jolla,CA,92093,5,5,-117.235866,32.877749
University of California-San Francisco,San Francisco,CA,94143-0244,2,2,-122.458489,37.763737
University of California-Santa Barbara,Santa Barbara,CA,93106,4,5,-119.846426,34.416297
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,4,4,-122.058801,36.995584
Sofia University,Palo Alto,CA,94303,2,2,-122.10866,37.430325
California Beauty College,Modesto,CA,95354,-2,1,-120.997481,37.645371
Haven University,Garden Grove,CA,92840-1340,1,1,-117.939412,33.777392
California Hair Design Academy,La Mesa,CA,91942-5055,-2,1,-117.024261,32.765221
California Institute of the Arts,Valencia,CA,91355-2397,2,2,-118.566837,34.39327
California State University Maritime Academy,Vallejo,CA,94590-8181,2,1,-122.231551,38.069061
California Western School of Law,San Diego,CA,92101-3046,2,1,-117.162416,32.722192
Canada College,Redwood City,CA,94061-1099,3,3,-122.265398,37.44877
College of the Canyons,Santa Clarita,CA,91355-1899,4,4,-118.568698,34.403993
Career Academy of Beauty,Garden Grove,CA,92845,-2,1,-118.031697,33.781018
Casa Loma College-Los Angeles,Sherman Oaks,CA,91403,1,1,-118.466548,34.155096
CET-San Diego,San Diego,CA,92102,-2,1,-117.105328,32.711302
CET-San Jose,San Jose,CA,95110,-2,1,-121.88698,37.322723
CET-El Centro,El Centro,CA,92243,-2,1,-115.549079,32.790908
CET-Colton,Colton,CA,92324,-2,1,-117.353488,34.077381
CET-Watsonville,Watsonville,CA,95076,-2,1,-121.767991,36.931833
CET-Salinas,Salinas,CA,93906,-2,1,-121.65236,36.707333
Cerritos College,Norwalk,CA,90650-6298,4,5,-118.097337,33.886874
Cerro Coso Community College,Ridgecrest,CA,93555-9571,3,3,-117.66767,35.567525
Chabot College,Hayward,CA,94545,3,4,-122.105636,37.642458
